frequency,name,link
107.9,"Unknown",
107.8,"March Military Band - North Korean Song Defend The Headquarters Of Revolution",https://youtu.be/Ra5ZNNTpf10
107.7,"Unknown",
107.6,"Pochonbo Electronic Ensemble - Sound of Horse Hooves in Mt. Paektu",https://youtu.be/oVKxD_cTzOY
107.5,"Korea Will Defend Itself From the United States! We Will Follow You Only!",https://youtu.be/XXo5w7aPJDA
107.4,"Pochonbo Electronic Ensemble - I am Joyful",https://youtu.be/bYhAzPUb5C0
107.3,"North Korean Pop Song: City Girl Comes to a Village to Get Married",https://youtu.be/4VjeuthVOI8
107.2,"When I Get Back - Kay Kellum (1950)",https://youtu.be/dRso-OLFzWc
107.1,"Unknown",
107,"Are We Living Like in Those Days (Instrumental)",https://youtu.be/K7QQlG2AaY0
106.9,"Wangjaesan Light Music Band - Whistle",https://youtu.be/S-uLlNbee_s
106.8,"Wangjaesan Light Music Band - Bellows",https://youtu.be/9ZWIWgqvKmw
105.7,"Vesyolye Rebyata - Cars",https://youtu.be/aCjE8LKSTe8
105.6,"Unknown",
105.5,"Don't tell mom me in Chechnya",https://youtu.be/DHCzaiJEoEY
105.4,"Beautiful Green Eyes",https://youtu.be/8e5GDbkS3Gw
105.3,"Kino - Voina",https://youtu.be/1ZhU5O97CdA
105.2,"Kino - Gruppa Krovi",https://youtu.be/Ncfm6Fphhlo
105.1,"Three Choppers Over Mozdok",https://youtu.be/WswMdOcuPnA
105,"Kino - Peremen!",https://youtu.be/z5xQfUScep4
104.9,"Kaskad - Chadvardak",https://youtu.be/4CYWvqnpKC8
104.8,"Kaskad - Green Zone",https://youtu.be/-4UnyhXLFlE
104.7,"Kaskad - Jalalabad",https://youtu.be/W0jhS2R5Ha0
104.6,"Kaskad - Song of the Motorists",https://youtu.be/hsD4D4vBsCw
104.5,"Kaskad - Somewhere in the Civilian World",https://youtu.be/_O16m7WHbgQ
104.4,"Kontingent - To the Brim",https://youtu.be/s-cztp-rmhE
104.3,"Kaskad - Song of the Scouts",https://youtu.be/KrOkWKSPqSo
104.2,"Kaskad - Roads, Roads",https://youtu.be/HV2Zs-_drfI
104.1,"Kaskad - We Are Leaving",https://youtu.be/_Wv4Pe13CK0
104,"Unknown",
103.9,"Unknown",
103.8,"Unknown",
103.7,"Kaskad - Song of the Scout",https://youtu.be/KrOkWKSPqSo
103.6,"Vivat, Shuravi! (Hello, Boy) - Kaskad",https://youtu.be/VGbXoT_23pg
103.5,"Green - Vladimir Puhov",https://youtu.be/kzce0pQufY0
103.4,"So Why Don't We Sing [Vershina] Today (Live Concert)",https://youtu.be/eFK7qOhHkDc
103.3,"Tachanka - Renat Ibragimov",https://youtu.be/e5E4l78Ka50
103.2,"March of the Tankers",https://youtu.be/STDRdkBpCvY
103.1,"Three Tankmen - Vladimir Zarkov, Song and Dance Ensemble of the Red Banner Kyiv Military District & Alexander Pustovalov",https://youtu.be/0QOO3UWU98U
103,"Red Army is the Strongest (Instrumental)",https://youtu.be/5RDVHkI0GSs
102.5,"Lyube - Davai Za",https://youtu.be/mzaf8ExJ2hg
102,"Säkkijärven Polkka (Instrumental)",https://youtu.be/Y8yp9oItjA4
101.8,"Paradoqz/Alphastormz - Katyusha (Extended Mix)",https://youtu.be/sIhu5EgR-8I
101.5,"VDV",https://youtu.be/0rAHrHd2lcw
101.1,"The Rooks",https://youtu.be/iGHArmJHAXY
101,"Song for Denise",https://youtu.be/aLp8SISp4nM
100.9,"Säkkijärven Polkka",https://youtu.be/xrBLSmuhTSs
100.8,"Yuki no Shingun",https://youtu.be/tJA4-eK7o4s
100.7,"Polyushka Polye",https://youtu.be/TPeriSAdum0
100.6,"Katyusha",https://youtu.be/7J__ZdvsZaE
100.5,"US Field Artillery March",https://youtu.be/lDPa6XDFyOs
100.4,"British Grenadiers",https://youtu.be/PGrxHO-B2TY
100.3,"Panzer Vor!",https://youtu.be/val5LZ-YURo
100.2,"Erika",https://youtu.be/2YHcKPGEbSo
100.1,"Panzerlied",https://youtu.be/bLSyBz6AXtM
99.9,"Unrivaled!",https://youtu.be/mdE_Gk2OGv4
99.8,"La Chanson de l'Oignon",https://youtu.be/VTCmahb6O0E
99.7,"Funiculì Funiculà - Luigi Denza",https://youtu.be/yTSAZAHiOa8
99.6,"Fred Rovella - Tarantella",https://youtu.be/FKz4TtHCvh4
99.5,"Peta Kozarska Brigada - Roki Vulović",https://youtu.be/-Qi9nUfUTEA
99.4,"God Save the Queen",https://youtu.be/I8KSAtos-dk
99.3,"British Grenadiers (Vocal Version)",https://youtu.be/TLGnuvw_ncs
99.1,"Rule Britannia (J-Rock)",https://youtu.be/V0Xa2Hm8ow4
98.8,"Five Brothers in a Tank",https://youtu.be/zYzOQqh7mdc
97.5,"Panzerlied (Instrumental)",https://youtu.be/Iv4tCHoZPGQ
97.4,"FDJ (Freie Deutsche Jugend) - IFA Wartburg",https://youtu.be/1zsFSdVMU5k
97.3,"Some German Political Song",
97,"Прощай навеки, последняя любовь (feat. Сергей Кузнецов)",https://youtu.be/qJJiDd-bT1s
96.9,"Lorraine March",https://youtu.be/GYJFUZEazWg
